"","area_type","location","size","society","total_sqft","bath","balcony","price"
"2428","Super built-up  Area","Whitefield",3,"Lallere",1635,2,2,85
"2429","Super built-up  Area","Rajaji Nagar",4,"PhestOn",3526,4,1,558
"2430","Built-up  Area","Padmanabhanagar",4,"Unknown",3400,3,1,210
"2431","Built-up  Area","Ramakrishnappa Layout",3,"PeBayle",2770,3,1,460
"2432","Super built-up  Area","EPIP Zone",4,"BrontLa",3035,5,0,200
"2433","Super built-up  Area","Maragondanahalli",3,"ArnzaFi",1533,3,2,85
"2434","Super built-up  Area","Akshaya Nagar",3,"Hiows C",1720,3,1,134
"2435","Super built-up  Area","Frazer Town",3,"Unknown",2000,3,1,200
"2436","Super built-up  Area","Yeshwanthpur",2,"Aroomba",1185,2,2,75.84
"2437","Super built-up  Area","Varthur Road",2,"Unknown",900,2,1,27
"2438","Built-up  Area","Attibele",1,"Jae 1hu",395,1,1,10.25
"2439","Super built-up  Area","Electronic City Phase II",2,"Brods W",1031,2,1,56.35
"2440","Plot  Area","3rd Block Banashankari",6,"Unknown",2400,8,2,650
"2441","Super built-up  Area","Thanisandra",4,"G conTh",2650,4,2,240
"2442","Plot  Area","Basaveshwara Nagar",5,"Unknown",2400,5,1,415
"2443","Super built-up  Area","Uttarahalli",3,"SLnssPr",1330,2,2,46.55
"2444","Super built-up  Area","Hennur",2,"Exitym ",1259,2,2,57
"2445","Built-up  Area","Raja Rajeshwari Nagar",3,"GRvanun",1570,3,2,88
"2446","Built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,36
"2447","Super built-up  Area","Whitefield",2,"Prtates",1216,2,1,79
"2448","Super built-up  Area","Sarjapur  Road",3,"Srisei ",1428,2,2,66
"2449","Super built-up  Area","Begur Road",2,"Unknown",1160,2,2,40.59
"2450","Plot  Area"," ittamadu",3,"Unknown",600,2,1,110
"2451","Super built-up  Area","Doddakannelli",3,"SastyDy",1475,3,2,70
"2452","Super built-up  Area","Harlur",3,"Unknown",1754,3,2,135
"2453","Super built-up  Area","Rayasandra",3,"Unknown",1639,3,1,83
"2454","Super built-up  Area","Hennur Road",3,"Puachal",1804,3,2,102
"2455","Plot  Area","Whitefield",3,"Unknown",1200,3,2,56.2
"2456","Built-up  Area","Anand Nagar",2,"Unknown",1135,2,3,55
"2457","Super built-up  Area","Begur Road",2,"Dhalsh ",1260,2,2,46.62
"2458","Plot  Area","Peenya",5,"Unknown",1440,5,1,110
"2459","Built-up  Area","Hennur Road",3,"Asadacy",2160,3,2,160
"2460","Plot  Area","Rayasandra",7,"Unknown",700,6,2,85
"2461","Super built-up  Area","Rachenahalli",2,"Unknown",1220,2,2,59.5
"2462","Plot  Area","Margondanahalli",2,"Unknown",1200,2,0,67
"2463","Super built-up  Area","Yelahanka",2,"Chara N",1300,2,3,65
"2464","Super built-up  Area","Cox Town",1,"EGdiaAr",605,1,1,29
"2465","Plot  Area","Vijayanagar",6,"Unknown",1230,4,1,210
"2466","Super built-up  Area","Bhoganhalli",2,"Rosha I",1444,2,1,75.97
"2467","Built-up  Area","Amruthahalli",2,"Unknown",924,2,1,45
"2468","Super built-up  Area","Kaikondrahalli",2,"Unknown",1000,2,1,30
"2469","Plot  Area","Vishveshwarya Layout",4,"Unknown",600,4,0,95
"2470","Plot  Area","Patelappa Layout",3,"Unknown",1200,3,3,225
"2471","Super built-up  Area","Bisuvanahalli",2,"Prityel",845,2,1,29
"2472","Super built-up  Area","Kanakpura Road",2,"PrarePa",700,2,1,35
"2473","Super built-up  Area","Kothanur",2,"Unknown",1187,2,2,58
"2474","Super built-up  Area","Kaggadasapura",3,"Saconp ",1625,3,2,55
"2475","Plot  Area"," Devarachikkanahalli",2,"Unknown",1200,2,2,83
"2476","Super built-up  Area","Pulkeshi Nagar",2,"ElaleSp",1290,2,3,110
"2477","Built-up  Area","Thanisandra Main Road, ",3,"Unknown",2357,3,2,151
"2478","Super built-up  Area","Kaval Byrasandra",2,"Unknown",1200,2,1,49.5
"2479","Super built-up  Area","Budigere",2,"PrityTr",1139,2,2,56.85
"2480","Built-up  Area","Basavangudi",1,"Unknown",600,1,0,97.5
"2481","Super built-up  Area","Kanakpura Road",3,"PuandHi",1660,3,3,75
"2482","Super built-up  Area","Jayanagar",2,"Rakulai",1170,2,3,105
"2483","Super built-up  Area","Somasundara Palya",2,"Srhts P",1448,2,2,68
"2484","Super built-up  Area","Kadugodi",3,"Alestrb",1762,3,3,110
"2485","Super built-up  Area","Kaggadasapura",2,"SLireap",1105,2,1,38.65
"2486","Super built-up  Area","Yelahanka",3,"Miitat ",1825,3,1,105
"2487","Super built-up  Area"," Bhoganhalli",1,"Rosha I",296,1,0,22.89
"2488","Plot  Area","Kumbalgodu",5,"Unknown",1200,4,1,85
"2489","Super built-up  Area","Thanisandra",2,"MenueNo",1185,2,2,43
"2490","Built-up  Area","Electronic City Phase II",3,"Sryalan",1320,2,1,38.12
"2491","Super built-up  Area","Hulimavu",2,"Suelsa ",1058,2,1,48
"2492","Super built-up  Area","Bellandur",2,"Unknown",1220,2,2,60
"2493","Super built-up  Area","Sarjapur",2,"Unknown",925,2,1,25
"2494","Super built-up  Area","Old Madras Road",2,"Brglede",1200,2,1,72
"2495","Super built-up  Area","Kengeri",3,"Unknown",1160,2,2,40.6
"2496","Plot  Area","Kengeri Satellite Town",3,"Unknown",600,4,3,72
"2497","Super built-up  Area","banashankari stage iii sa",3,"Unknown",1411,3,2,91.72
"2498","Super built-up  Area","Bannerghatta Road",3,"SNity S",1550,3,2,78
"2499","Super built-up  Area","Green Glen Layout",4,"Unknown",3250,4,3,230
"2500","Super built-up  Area","Haralur Road",3,"NDionas",2475,4,2,130
"2501","Super built-up  Area","Jakkur",4,"SoineC ",3181,NA,2,260.5
"2502","Super built-up  Area","7th Phase JP Nagar",4,"Puarero",2503,4,0,188
"2503","Super built-up  Area","Marathahalli",4,"Prionad",2524,5,2,190
"2504","Super built-up  Area","Kaggadasapura",2,"Unknown",1063,2,2,42
"2505","Super built-up  Area","Kanakpura Road",2,"Unknown",1077,2,1,37.7
"2506","Super built-up  Area","Manayata Tech Park",2,"Unknown",1200,3,2,44
"2507","Built-up  Area","Hosakerehalli",4,"Unknown",1500,3,2,70
"2508","Super built-up  Area","Jalahalli",2,"Vaniai ",1045,2,2,76.77
"2509","Super built-up  Area","Kanakapura",3,"SPavenc",1290,2,3,45.15
"2510","Super built-up  Area","Hoodi",2,"SMaxyay",1400,2,1,78
"2511","Built-up  Area","Begur Road",3,"Unknown",1600,3,2,58.14
"2512","Super built-up  Area","Jayanagar",3,"Unknown",3095,3,3,375
"2513","Super built-up  Area","Nagavara",3,"Unknown",1545,2,1,58
"2514","Super built-up  Area","Sarjapur  Road",3,"Mades G",1680,3,1,112
"2515","Built-up  Area","Amruthnagar",2,"Unknown",1350,2,1,67.5
"2516","Super built-up  Area","Gottigere",2,"Unknown",950,2,1,38
"2517","Super built-up  Area","Thanisandra",2,"Unknown",1050,2,2,45
"2518","Super built-up  Area","Banashankari Stage V",3,"Unknown",1305,2,2,49
"2519","Plot  Area","Hosakerehalli",4,"Unknown",800,4,2,120
"2520","Built-up  Area","Kodichikkanahalli",5,"Unknown",2700,7,2,125
"2521","Plot  Area","MS Pallya",3,"Unknown",1100,3,1,78
"2522","Built-up  Area","Thanisandra",6,"Unknown",3500,5,0,160
"2523","Super built-up  Area","Begur Road",3,"Pruthg ",1634,3,1,83.33
"2524","Super built-up  Area","Prithvi Layout",2,"Prlmsge",1352,2,2,85
"2525","Super built-up  Area","Balagere",2,"HiqueMa",1145,2,2,65
"2526","Super built-up  Area","Alfa Garden Layout",2,"Unknown",1240,2,2,43.79
"2527","Super built-up  Area","7th Phase JP Nagar",3,"BriumMi",2200,3,2,190
"2528","Super built-up  Area","Bommasandra Industrial Area",2,"Unknown",1020,2,1,39
"2529","Super built-up  Area","Palace Guttahalli",4,"Unknown",3600,4,2,365
"2530","Super built-up  Area","Raja Rajeshwari Nagar",2,"Prllsan",1168,2,1,61
"2531","Super built-up  Area","Electronic City Phase II",2,"SNbay G",1205,2,1,75
"2532","Super built-up  Area","Yeshwanthpur",2,"Vatra N",1195,2,2,100
"2533","Built-up  Area","CV Raman Nagar",2,"Unknown",1028,2,1,49
"2534","Super built-up  Area","Akshya Nagar",2,"Unknown",1175,2,2,48.27
"2535","Super built-up  Area","Pai Layout",3,"Saent A",1550,2,2,90
"2536","Super built-up  Area","Yeshwanthpur",3,"Unknown",1826,3,2,165
"2537","Plot  Area","Hoodi",5,"Unknown",2400,5,2,160
"2538","Super built-up  Area","Yelahanka",3,"Niareum",1603,3,2,96
"2539","Built-up  Area","Marathahalli",3,"Unknown",1350,3,1,72
"2540","Built-up  Area","KR Puram",1,"Unknown",714,1,1,28
"2541","Super built-up  Area","Whitefield",2,"Unknown",1215,2,3,65
"2542","Built-up  Area","Malleshpalya",3,"MancyRe",1405,2,2,77
"2543","Super built-up  Area","KR Puram",2,"MCvarar",1142,2,1,51
"2544","Built-up  Area","Akshaya Vana",4,"Unknown",4000,4,3,170
"2545","Super built-up  Area","Whitefield",3,"Brony H",1870,3,2,90
"2546","Super built-up  Area","Subramanyapura",2,"Chllsev",1313,2,2,73
"2547","Built-up  Area","Hennur Gardens",3,"PlhtsHe",1945,3,3,120
"2548","Super built-up  Area","Thanisandra",3,"Bhmesy ",1573,3,2,95
"2549","Super built-up  Area","Sarjapur  Road",2,"Mades G",1255,2,1,92
"2550","Super built-up  Area","Benson Town",4,"Unknown",1400,3,2,91.15
"2551","Super built-up  Area","Kannamangala",2,"Unknown",1235,2,2,43.63
"2552","Super built-up  Area","Sarjapur  Road",3,"Shthi S",1380,2,1,52
"2553","Plot  Area","Ramamurthy Nagar",7,"Unknown",1500,9,2,250
"2554","Super built-up  Area","Vittasandra",2,"Unknown",1238,2,1,67
"2555","Super built-up  Area","Chennammana Kere",3,"Unknown",1465,2,3,74.72
"2556","Super built-up  Area","Thigalarapalya",2,"Unknown",1418,2,2,103
"2557","Super built-up  Area","Victoria Layout",3,"Unknown",1650,3,1,165
"2558","Built-up  Area"," Anekal",1,"Unknown",351,1,1,16
"2559","Super built-up  Area","Uttarahalli",2,"Sagnage",1279,2,2,48
"2560","Built-up  Area","Kasavanhalli",3,"Unknown",1870,3,1,200
"2561","Plot  Area","BCC Layout",4,"Unknown",1500,5,1,230
"2562","Super built-up  Area","Hebbal",3,"SNontle",2526,2,2,250
"2563","Plot  Area","Mathikere",3,"Unknown",1550,2,1,150
"2564","Super built-up  Area","Rajaji Nagar",4,"PhestOn",1290,NA,2,424.5
"2565","Super built-up  Area","Uttarahalli",3,"DSera S",1845,2,1,68.27
"2566","Super built-up  Area","Motappa Layout",3,"Puodse ",1360,2,1,59.27
"2567","Built-up  Area","Friends Colony",3,"Unknown",1150,2,1,75
"2568","Super built-up  Area","Whitefield",2,"Sancya ",1260,2,2,49.5
"2569","Plot  Area","Doddabidrakallu",3,"Unknown",1200,3,1,74
"2570","Built-up  Area","Dasanapura",2,"Tavenew",965,2,1,42.5
"2571","Built-up  Area","Hoodi",3,"Adion M",1350,2,3,48
"2572","Super built-up  Area","Bhoganhalli",2,"Rosha I",1447,2,1,75.97
"2573","Super built-up  Area","Arehalli",3,"Unknown",1229,3,1,86.03
"2574","Super built-up  Area","Kudlu",2,"Unknown",1027,2,2,43
"2575","Super built-up  Area","Gottigere",2,"M denGa",1153,2,1,48.5
"2576","Super built-up  Area","Whitefield",4,"Prtates",2856,5,0,145.5
"2577","Super built-up  Area","Malleshpalya",2,"A idse ",1065,2,2,50
"2578","Built-up  Area","Tala Cauvery Layout",2,"Skarkev",1030,2,3,61
"2579","Super built-up  Area","Mallasandra",2,"Unknown",1340,2,2,61
"2580","Super built-up  Area","Marathahalli",4,"PueraRi",4000,5,2,212
"2581","Built-up  Area","Sri Balaji Krupa Layout",1,"Unknown",600,1,0,32
"2582","Super built-up  Area","Begur Road",3,"Dhalsh ",1410,2,3,44.42
"2583","Super built-up  Area","Varthur",2,"Myple M",1055,2,2,45.35
"2584","Super built-up  Area","Yelahanka",2,"Prensya",1304,2,1,79
"2585","Super built-up  Area","Sadashiva Nagar",4,"Unknown",2720,4,1,485
"2586","Built-up  Area","Kammasandra",2,"Puitea ",990,2,1,31.5
"2587","Super built-up  Area","7th Phase JP Nagar",2,"Unknown",1035,2,1,39.33
"2588","Super built-up  Area","Tumkur Road",1,"Coowsri",700,1,0,30.09
"2589","Super built-up  Area","Sonnenahalli",2,"Unknown",1120,2,2,43
"2590","Super built-up  Area","Haralur Road",2,"NDionas",1300,2,2,73
"2591","Super built-up  Area","Tumkur Road",2,"Sapus S",1239,2,1,82
"2592","Super built-up  Area","Sarjapur  Road",3,"Daivon ",1403,3,3,51.63
"2593","Super built-up  Area","Hosa Road",2,"Sosisic",1365,2,1,92
"2594","Super built-up  Area","8th block Koramangala",2,"Sid 2ss",1165,2,1,135
"2595","Super built-up  Area","Subramanyapura",3,"Unknown",1130,2,3,45.19
"2596","Super built-up  Area","Green Glen Layout",3,"Solia D",1290,3,2,105
"2597","Plot  Area","Vidyaranyapura",4,"Unknown",900,4,3,175
"2598","Super built-up  Area","Haralur Road",2,"Unknown",1194,2,2,47
"2599","Super built-up  Area","Bidadi",2,"Etuney ",1107,2,2,33
"2600","Super built-up  Area","Nagavara",3,"Unknown",2319,3,2,180
"2601","Super built-up  Area","Nallurhalli",3,"DNtonri",1520,3,3,80
"2602","Super built-up  Area","Kannamangala",3,"Sonue A",1536,3,1,89
"2603","Built-up  Area","Teachers Colony",4,"Unknown",3000,4,2,240
"2604","Super built-up  Area","Belathur",2,"Viiniai",1050,2,1,38
"2605","Super built-up  Area","Hoodi",3,"GoAirej",1850,3,2,146
"2606","Super built-up  Area","Billekahalli",2,"Diisein",1112,2,2,62
"2607","Super built-up  Area","Marathahalli",3,"Unknown",1535,3,2,72.5
"2608","Built-up  Area","Kanakpura Road",2,"Unknown",1050,2,1,35
"2609","Plot  Area","Banashankari",4,"Unknown",2400,3,2,370
"2610","Super built-up  Area","7th Phase JP Nagar",3,"JDensar",1250,3,2,65
"2611","Super built-up  Area","Kalena Agrahara",2,"CSvelMa",1187,2,3,52
"2612","Built-up  Area","9th Phase JP Nagar",2,"Unknown",1164,2,1,56
"2613","Super built-up  Area","Electronic City Phase II",3,"SNbay G",1395,2,1,62.78
"2614","Super built-up  Area","Arekere",3,"RRnumn ",2072,3,2,108
"2615","Super built-up  Area","Kanakpura Road",3,"JRrnauv",1450,3,3,60.91
"2616","Super built-up  Area","Bannerghatta Road",3,"SNity S",1550,3,2,82
"2617","Super built-up  Area","Sampige Layout",2,"Unknown",1315,2,2,90
"2618","Super built-up  Area","Hebbal",4,"SNontle",3067,4,3,230
"2619","Super built-up  Area","Amruthnagar",2,"Saeur G",1210,2,2,72
"2620","Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,47
"2621","Super built-up  Area","Sathya Sai Layout",6,"Prowshi",11338,9,1,1000
"2622","Super built-up  Area","Virgonagar",3,"Unknown",1215,3,1,42.2
"2623","Built-up  Area","Kaggadasapura",3,"Prmesad",1470,2,2,75
"2624","Plot  Area","Dodsworth Layout",4,"Unknown",30000,4,2,2100
"2625","Built-up  Area","Hosur Road",3,"Saageat",1590,2,2,125
"2626","Super built-up  Area","Kanakpura Road",2,"Shdhia ",1050,2,1,36.75
"2627","Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1306,2,1,55.91
"2628","Built-up  Area","Malleshwaram",3,"Maens G",2000,3,2,250
"2629","Built-up  Area","Kudlu Village, ",3,"Unknown",1445,3,2,64
"2630","Super built-up  Area","Sarjapur  Road",3,"Unknown",1220,3,2,58
"2631","Plot  Area","Sarjapur",4,"Puodsm ",3190,3,1,160
"2632","Super built-up  Area","Ramagondanahalli",2,"ViistLa",1215,2,1,51.26
"2633","Built-up  Area","Budigere",3,"PrityTr",1920,2,1,88
"2634","Super built-up  Area","Dodda Nekkundi",2,"Unknown",1390,2,2,60
"2635","Plot  Area","Battarahalli",3,"Unknown",800,2,1,75
"2636","Plot  Area","Nagarbhavi",3,"Unknown",600,3,2,100
"2637","Super built-up  Area","Hoodi",2,"GoAirej",1196,2,0,71.74
"2638","Super built-up  Area","Bannerghatta Road",3,"Siaraa ",1550,2,2,75
"2639","Super built-up  Area","Thigalarapalya",2,"Prtanha",1418,2,2,101
"2640","Super built-up  Area","Varthur Road",3,"Unknown",1655,3,2,115
"2641","Built-up  Area","KR Puram",2,"SancyRe",1115,2,2,33.45
"2642","Super built-up  Area","Rajiv Gandhi Nagar",2,"NCiteEl",1170,2,2,68
"2643","Super built-up  Area","Anekal",2,"Sraveks",1035,2,2,38.3
"2644","Super built-up  Area","Singasandra",3,"Unknown",1306,2,2,58
"2645","Super built-up  Area","Kengeri",2,"VBn 2lm",750,2,2,22
"2646","Super built-up  Area","Thanisandra",3,"Bhmesy ",1917,3,3,122
"2647","Super built-up  Area","Kaggadasapura",3,"Frowsru",1615,3,3,58
"2648","Super built-up  Area","Marathahalli",2,"Unknown",1071,2,2,52.25
"2649","Super built-up  Area","Koramangala",2,"Suryais",1325,2,2,119
"2650","Plot  Area","Malleshwaram",7,"Unknown",3000,4,2,900
"2651","Super built-up  Area","5th Phase JP Nagar",3,"Unknown",1400,2,1,88
"2652","Super built-up  Area","Tumkur Road",2,"Sapus S",1246,2,1,82
"2653","Built-up  Area","Sarjapur",2,"Coa It ",1215,2,0,40
"2654","Super built-up  Area","Munnekollal",2,"Akave E",1200,2,2,49.5
"2655","Plot  Area","Kurubarahalli",4,"Unknown",450,3,1,53
"2656","Super built-up  Area","Kodigehaali",2,"Shyas S",1200,2,2,60
"2657","Built-up  Area","Kaval Byrasandra",2,"Unknown",945,2,2,50
"2658","Super built-up  Area","Benson Town",4,"Unknown",4460,5,2,650
"2659","Super built-up  Area","Hormavu",2,"Nadhian",1175,2,1,52
"2660","Super built-up  Area","Whitefield",2,"SrireSo",920,2,1,63
"2661","Super built-up  Area","Hosakerehalli",4,"Taonte ",3024,5,1,350
"2662","Plot  Area","Bidadi",2,"Unknown",1600,2,2,110
"2663","Plot  Area","Sanjay nagar",4,"Unknown",750,2,0,110
"2664","Plot  Area","Sector 4 HSR Layout",4,"Unknown",2400,4,2,700
"2665","Built-up  Area","Bhagyalakshmi Avenue",2,"Prineth",955,1,2,34.01
"2666","Super built-up  Area","Ardendale",3,"SoystAm",1750,3,3,100
"2667","Super built-up  Area","Uttarahalli",3,"Suitea ",1425,2,2,64
"2668","Super built-up  Area","Basavangudi",3,"Brsic C",2150,3,2,265
"2669","Super built-up  Area","Whitefield",2,"Unknown",1165,2,1,40.5
"2670","Super built-up  Area","Kaggadasapura",2,"Maidei ",1050,2,2,48
"2671","Super built-up  Area","Cholanayakanahalli",3,"ShourSp",1370,2,2,75
"2672","Super built-up  Area","Electronic City",3,"Prarkun",1374,2,1,72
"2673","Super built-up  Area","Harlur",3,"SosicCl",1754,3,2,124
"2674","Super built-up  Area","Kothanur",3,"Somumys",1847,3,2,110
"2675","Super built-up  Area","Ambedkar Nagar",3,"SoechHa",1850,4,3,139
"2676","Plot  Area","Chikka Tirupathi",3,"Theanmp",3297,3,1,135
"2677","Super built-up  Area","Doddakannelli",2,"BMtusLo",1187,2,2,45
"2678","Built-up  Area","Bommasandra Industrial Area",3,"Unknown",1400,2,1,40.44
"2679","Plot  Area","Kengeri Hobli",3,"Unknown",600,2,0,30
"2680","Super built-up  Area","Chamrajpet",2,"Unknown",1350,2,3,180
"2681","Plot  Area","Doddaballapur",3,"Raourpl",3000,2,2,120
"2682","Super built-up  Area","Thanisandra",1,"Bhe 2ko",693,1,1,34.3
"2683","Super built-up  Area","Dairy Circle",3,"Soeurri",1980,3,2,224
"2684","Super built-up  Area","KR Puram",2,"Saavem ",1021,2,1,48
"2685","Super built-up  Area","Thigalarapalya",2,"Prtanha",1165,2,2,95
"2686","Super built-up  Area","Horamavu Agara",3,"Prhar G",1756,3,2,92
"2687","Super built-up  Area","Bharathi Nagar",3,"FoapeWa",1739,3,1,105
"2688","Super built-up  Area","Varthur",2,"Caiseur",1280,2,2,65
"2689","Super built-up  Area","Marathahalli",2,"Unknown",1215,2,2,58.86
"2690","Super built-up  Area","Munnekollal",2,"Sadhii ",950,2,1,46.5
"2691","Built-up  Area","Kengeri",3,"Unknown",1082,2,1,49
"2692","Super built-up  Area","7th Phase JP Nagar",2,"Unknown",1050,2,1,42
"2693","Super built-up  Area","Devanahalli",2,"Cerdsga",1080,2,0,53.35
"2694","Super built-up  Area","Arekere",2,"Maierr ",1100,2,2,55
"2695","Plot  Area","Ardendale",4,"Aling10",3200,4,1,205
"2696","Super built-up  Area","Sarjapur  Road",2,"PraleSi",1311,2,1,78
"2697","Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1608,3,1,67.98
"2698","Super built-up  Area","Begur Road",2,"Unknown",1160,2,2,36
"2699","Super built-up  Area","Whitefield",2,"Veitaus",1170,2,1,71
"2700","Super built-up  Area","Kengeri",2,"Unknown",1155,2,2,40.6
"2701","Super built-up  Area","Hebbal",3,"Magiaya",1255,2,1,77.68
"2702","Super built-up  Area","Rayasandra",2,"Unknown",1065,2,2,44.95
"2703","Super built-up  Area","Neeladri Nagar",1,"Guenoa ",674,1,1,21
"2704","Super built-up  Area","Ambedkar Nagar",3,"Unknown",1936,4,2,126
"2705","Super built-up  Area","Sarakki Nagar",3,"Unknown",2289,3,2,260
"2706","Super built-up  Area","Abbaiah Reddy Layout",2,"Unknown",1100,2,1,38.45
"2707","Super built-up  Area","Ramagondanahalli",3,"DNeremo",2257,4,2,157
"2708","Super built-up  Area","Nagarbhavi",2,"Unknown",1055,2,2,55
"2709","Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1530,3,3,51.87
"2710","Super built-up  Area","Dinnur",3,"Unknown",1700,3,1,97
"2711","Super built-up  Area","Raja Rajeshwari Nagar",3,"Tentsw ",1575,2,2,78
"2712","Built-up  Area","Frazer Town",3,"Nanorkr",3500,4,2,330
"2713","Super built-up  Area","Rajiv Nagar",2,"Ahntyve",1263,2,1,93.32
"2714","Super built-up  Area","KR Puram",3,"MCvarar",1559,3,0,69.315
"2715","Super built-up  Area","Kengeri Satellite Town",2,"MB-laan",1043,2,2,65
"2716","Super built-up  Area","Hennur",2,"Shateor",1255,2,2,53.5
"2717","Super built-up  Area","JP Nagar",2,"Shestut",1290,2,0,93.865
"2718","Super built-up  Area","Chandapura",1,"Siageal",590,1,0,13.57
"2719","Plot  Area","Yelahanka",3,"Edreelm",1550,3,1,120
"2720","Super built-up  Area","Sarjapur  Road",3,"Unknown",1220,3,3,56
"2721","Super built-up  Area","Rustam Bagh Layout",3,"Jants V",1900,3,3,160
"2722","Super built-up  Area","Vasantha Vallabha Nagar",3,"Unknown",1360,3,3,55
"2723","Built-up  Area","Vyalikaval",2,"Unknown",1100,2,1,75
"2724","Super built-up  Area","8th Phase JP Nagar",3,"Vaarech",1455,3,2,73.31
"2725","Built-up  Area","KR Puram",2,"Hivesdr",1035,2,1,40.5
"2726","Super built-up  Area","Harlur",2,"Unknown",1152,2,2,69
"2727","Super built-up  Area","Bellandur",2,"OriewLa",1299,2,2,82
"2728","Super built-up  Area","Sarjapur  Road",3,"AsastDe",1157,2,1,75
"2729","Super built-up  Area","Rachenahalli",2,"Sovar S",1050,2,2,52.5
"2730","Super built-up  Area","Pai Layout",2,"Unknown",1050,2,2,40
"2731","Super built-up  Area","Vittasandra",2,"Unknown",1246,2,1,67.4
"2732","Built-up  Area","Sarjapur Road, ",3,"Unknown",1929,3,2,115
"2733","Super built-up  Area","Hennur",2,"Unknown",1285,2,1,60
"2734","Plot  Area","Margondanahalli",3,"Unknown",1200,2,0,65
"2735","Built-up  Area","Banaswadi, ",4,"Unknown",3161,4,3,214
"2736","Built-up  Area","BTM 2nd Stage",3,"SNe 2ev",1850,3,2,170
"2737","Built-up  Area","Sompura",3,"Suiseit",1025,2,0,37
"2738","Built-up  Area","Malleshwaram",2,"SaeneSe",1124,3,2,80
"2739","Super built-up  Area","Balagere",2,"Soresea",1012,2,1,54.59
"2740","Super built-up  Area","Giri Nagar",7,"Bancyri",4500,5,3,250
"2741","Super built-up  Area","8th Phase JP Nagar",2,"i1rtsCo",871,2,2,55
"2742","Built-up  Area","Chinnapanahalli",2,"Mae 2ow",1020,2,2,40
"2743","Super built-up  Area","Rachenahalli",3,"Sovar S",1550,3,3,73.5
"2744","Plot  Area","Anand Nagar",3,"Unknown",3515,3,1,420
"2745","Super built-up  Area","Akshaya Nagar",3,"DLhtsnd",1410,2,2,80
"2746","Plot  Area","Chikka Tirupathi",4,"Theanmp",3500,5,3,150
"2747","Super built-up  Area","Whitefield",2,"Prtates",1118,2,1,75
"2748","Super built-up  Area","Thanisandra",2,"Bhmesy ",1098,2,1,68
"2749","Super built-up  Area","Kanakapura",2,"Unknown",1130,2,1,45.2
"2750","Super built-up  Area","Sarjapur  Road",2,"Trurea ",1145,2,2,75
"2751","Plot  Area","Kadugodi",3,"Unknown",950,3,1,80
"2752","Super built-up  Area","Balaji Gardens Layout",2,"GSnts A",1051,2,1,33
"2753","Plot  Area","Thavarekere",7,"Unknown",600,7,2,108
"2754","Super built-up  Area","Marathahalli",2,"Unknown",1102,2,2,53.67
"2755","Super built-up  Area","Jalahalli",2,"Tahtsla",1478,2,2,125
"2756","Super built-up  Area","Chandapura",1,"SunceEs",645,1,1,16.45
"2757","Carpet  Area","Hebbal",2,"Arcia S",823,2,1,50.63
"2758","Super built-up  Area","Abbigere",2,"Unknown",880,2,1,35
"2759","Built-up  Area","KR Puram",4,"Unknown",600,5,2,75
"2760","Super built-up  Area","Budigere",3,"PrityTr",1991,4,2,100
"2761","Built-up  Area","TC Palaya",3,"Unknown",1100,3,1,50
"2762","Super built-up  Area","Gubbalala",3,"MauilTr",1745,3,2,115
"2763","Built-up  Area","HAL 2nd Stage",2,"Unknown",1226,3,1,135
"2764","Plot  Area","Begur Road",3,"Unknown",680,4,1,68
"2765","Super built-up  Area"," Devarabeesana Halli",2,"Unknown",1100,2,1,70
"2766","Plot  Area","Banashankari Stage VI",4,"Unknown",1200,4,3,195
"2767","Super built-up  Area","5th Phase JP Nagar",2,"Sorta S",1450,2,1,58
"2768","Super built-up  Area","Singasandra",4,"Unknown",3366,4,2,120
"2769","Built-up  Area","Sahakara Nagar",2,"Unknown",1150,2,1,54
"2770","Super built-up  Area","Kanakpura Road",3,"Puestol",1843,3,2,95.84
"2771","Plot  Area","Banashankari Stage VI",4,"Unknown",2200,4,2,195
"2772","Built-up  Area","Bommanahalli",2,"Unknown",1090,3,2,44
"2773","Super built-up  Area","Kaggadasapura",2,"Binorn ",1132,2,2,42
"2774","Super built-up  Area","Hulimavu",2,"RatosAr",1375,2,2,80
"2775","Plot  Area","7th Phase JP Nagar",4,"Unknown",1500,5,3,220
"2776","Super built-up  Area","Thanisandra",1,"Bhmesy ",760,1,2,50.3
"2777","Super built-up  Area","Kaggadasapura",2,"Unknown",1180,2,2,65
"2778","Super built-up  Area","Jigani",2,"DLhtsan",918,2,2,45
"2779","Plot  Area","Rachenahalli",5,"Unknown",600,5,2,50
"2780","Built-up  Area","Margondanahalli",2,"Unknown",1200,1,0,53
"2781","Super built-up  Area","HSR Layout",2,"SrisePo",1372,2,1,61
"2782","Plot  Area","1st Block HRBR Layout",7,"Unknown",2400,7,3,355
"2783","Super built-up  Area","Ardendale",3,"SoystAm",1728,3,2,95
"2784","Super built-up  Area","Malleshwaram",3,"Sariaat",2215,3,1,275
"2785","Super built-up  Area","BTM 2nd Stage",2,"Crentt ",1200,2,2,80
"2786","Super built-up  Area","6th Phase JP Nagar",2,"Vador S",1280,2,2,56
