"area_type","location","size","society","total_sqft","bath","balcony","price"
"Super built-up  Area","Hennur Road",2,"Puachal",1232,2,0,69.61
"Super built-up  Area","Ambedkar Nagar",3,"SoechHa",2225,4,2,169
"Plot  Area","Sunkadakatte",3,"Unknown",1200,2,0,80
"Super built-up  Area","Dasarahalli",3,"Sooneoo",1901,3,2,119
"Super built-up  Area","Sarjapur  Road",3,"Klark L",1819,3,2,100
"Super built-up  Area","HOSUR MAIN ROAD",3,"Unknown",1464,3,2,56
"Super built-up  Area","Old Madras Road",4,"Brica E",3715,6,0,200.5
"Built-up  Area","9th Phase JP Nagar",4,"ImiteEl",5000,4,3,290
"Super built-up  Area","Someshwara Layout",4,"Unknown",1200,4,3,169
"Super built-up  Area","Kacharakanahalli",2,"Unknown",1256,2,1,60
"Super built-up  Area","7th Phase JP Nagar",2,"Unknown",1100,2,2,44
"Plot  Area","TC Palaya",4,"Unknown",4800,3,3,302
"Super built-up  Area","Kothanur",3,"Unknown",1435,3,3,70
"Super built-up  Area","6th Phase JP Nagar",4,"Unknown",3245,4,2,250
"Super built-up  Area","Sarjapur  Road",3,"Ceiti I",1845,4,1,110
"Plot  Area","Jigani",3,"Unknown",2400,4,1,130
"Super built-up  Area","HSR Layout",2,"NRosete",1140,2,2,46
"Super built-up  Area","Ulsoor",2,"Unknown",1200,2,0,60
"Super built-up  Area","Talaghattapura",3,"Sodgere",2254,3,2,170
"Super built-up  Area","Frazer Town",3,"Asareur",1750,3,2,150
"Built-up  Area","Jalahalli West",2,"Caiseha",1020,2,1,37
"Built-up  Area","Bommanahalli",1,"Unknown",515,1,1,25
"Super built-up  Area","Lingadheeranahalli",3,"Soiewre",1893,3,2,140
"Super built-up  Area","Vasanth nagar",3,"Pricae ",3025,3,0,500
"Built-up  Area","Suddaguntepalya",2,"Unknown",830,2,0,34
"Built-up  Area","Singasandra",2,"Unknown",600,2,1,36.5
"Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,90
"Plot  Area","Kathreguppe",4,"Unknown",3200,4,2,1200
"Super built-up  Area","Kasavanhalli",2,"HMonymp",1200,2,1,78
"Super built-up  Area","Sarjapur  Road",2,"Brareio",1233,2,2,77.65
"Super built-up  Area","Bannerghatta Road",2,"SNity S",1255,2,2,65.26
"Super built-up  Area","Begur Road",2,"Unknown",1200,2,2,37.8
"Super built-up  Area","Varthur",3,"Unknown",2145,3,2,175
"Built-up  Area","1st Phase JP Nagar",5,"Unknown",1500,5,2,85
"Built-up  Area","Kothannur",2,"Unknown",740,2,1,34
"Super built-up  Area","Kengeri",3,"Unknown",1250,3,3,48
"Super built-up  Area","Channasandra Layout",2,"Unknown",1210,2,2,40
"Super built-up  Area","Sarjapur  Road",3,"Shthi S",1525,2,2,60
"Built-up  Area","Kogilu",1,"Unknown",540,1,0,36
"Super built-up  Area","Tumkur Road",3,"Sahtsva",1240,2,1,84
"Super built-up  Area","Subramanyapura",3,"Mayne A",1245,2,1,68
"Plot  Area","HAL 3rd Stage",3,"Unknown",1865,3,3,350
"Super built-up  Area","Hosa Road",2,"Akvam P",1104,2,0,36.43
"Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,35.99
"Built-up  Area","Nagavara",2,"Unknown",2200,2,1,55
"Super built-up  Area","Whitefield",2,"SrireSo",1155,2,1,60
"Super built-up  Area","Doctors Layout",2,"Mavelr ",1520,2,3,62
"Super built-up  Area","Thigalarapalya",4,"Prtanha",3122,6,2,245
"Super built-up  Area","Harlur",2,"Prncyrn",1290,2,1,85
"Built-up  Area","1st Block HRBR Layout",3,"Unknown",2300,3,2,80
"Built-up  Area","Kannamangala",4,"Unknown",3000,4,0,200
"Super built-up  Area","Whitefield",4,"Haestt ",1290,4,2,270
"Built-up  Area","Austin Town",1,"Unknown",400,1,0,14
"Super built-up  Area","Banashankari",3,"Unknown",1340,2,3,53.6
"Super built-up  Area","Malleshwaram",2,"SrntsRV",900,2,1,95
"Plot  Area","Rajaji Nagar",6,"Unknown",1800,4,2,324
"Super built-up  Area","Hennur Road",2,"Koagati",987,2,1,49
"Super built-up  Area","Old Madras Road",3,"Brglede",1720,3,2,100
"Super built-up  Area","Hebbal",2,"Ratlet ",1040,2,1,50
"Built-up  Area","Anandapura",2,"Unknown",900,2,0,64
"Built-up  Area","Raja Rajeshwari Nagar",2,"Neess P",1030,2,1,50
"Super built-up  Area","Neeladri Nagar",3,"GeereEc",2556,3,2,133
"Super built-up  Area","Basavangudi",3,"KuisePa",1850,3,1,168
"Plot  Area","Kaval Byrasandra",4,"Unknown",750,4,3,110
"Super built-up  Area","Balagere",2,"Unknown",1028,2,1,31.86
"Super built-up  Area","7th Phase JP Nagar",2,"BriumMi",1270,2,1,83
"Built-up  Area","Sahakara Nagar",3,"Unknown",1655,3,1,115
"Built-up  Area","Electronics City Phase 1",2,"Unknown",940,2,1,40
"Super built-up  Area","Domlur",2,"IBictnd",1050,2,2,85
"Plot  Area","Rajagopala Nagar",4,"Unknown",600,4,1,40
"Super built-up  Area","Vishwapriya Nagar",2,"Aaniaa ",946,2,1,38
"Built-up  Area","CV Raman Nagar",3,"VeSkyva",1726,3,3,145
"Super built-up  Area","Sarakki Nagar",3,"Sowerew",2121,4,3,253
"Super built-up  Area","Vittasandra",2,"Prlla C",1404,2,1,75
"Super built-up  Area","Sarjapur",3,"Unknown",1525,2,2,48
"Super built-up  Area","Kengeri",2,"Vaens G",1025,2,2,57
"Plot  Area","Bahubali Nagar",5,"Unknown",1575,4,0,150
"Built-up  Area","RMV 2nd Stage",2,"Unknown",860,1,1,43
"Super built-up  Area","Talaghattapura",3,"Unknown",1223,2,1,42.81
"Super built-up  Area","Lottegolla Halli",4,"AnialPa",3750,3,2,550
"Super built-up  Area","Kothannur",2,"Unknown",1197,2,1,47.8
"Super built-up  Area","Garudachar Palya",2,"Unknown",1150,2,1,52.75
"Built-up  Area","Kodbisanhalli",4,"Diaste ",4800,5,3,629
"Super built-up  Area","R.T. Nagar",2,"Dhows M",1040,2,2,46
"Super built-up  Area","Banashankari",2,"Bregae ",1310,2,2,80
"Super built-up  Area","Uttarahalli",3,"Baveles",1788,3,2,98.34
"Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1144,2,2,38.55
"Super built-up  Area","Anjanapura",2,"Unknown",1070,2,2,39
"Super built-up  Area","Nandini Layout",2,"Unknown",1200,2,2,70
"Super built-up  Area","Ambedkar Nagar",3,"Unknown",1862,3,2,120
"Plot  Area","Margondanahalli",2,"Unknown",1200,2,1,58.5
"Super built-up  Area","Begur Road",2,"Unknown",970,2,2,27
"Super built-up  Area","Kasavanhalli",3,"Oca 2 V",1646,3,2,79.5
"Super built-up  Area","Sarjapur  Road",4,"Klark L",4395,4,2,242
"Plot  Area","Vibhutipura Extension",5,"Unknown",1200,4,1,100
"Super built-up  Area","Iblur Village",3,"DNionfl",1995,3,2,135
"Plot  Area","1st Block Jayanagar",4,"Unknown",2400,4,2,450
"Super built-up  Area","Hosakerehalli",2,"Maunt M",1085,2,1,47.74
"Super built-up  Area","Budigere",2,"PrityTr",1139,2,2,56.8
"Super built-up  Area","Haralur Road",2,"Unknown",1092,2,2,44
"Super built-up  Area","Pattandur Agrahara",3,"MaidoPl",1767,3,2,98
"Built-up  Area","HMT Layout",3,"Unknown",1700,3,2,80
"Super built-up  Area","Bellandur",3,"Maonsrn",1692,3,2,88
"Built-up  Area","6th Phase JP Nagar",3,"Unknown",1645,3,3,100
"Super built-up  Area","Uttarahalli",3,"Aklia R",1345,2,1,57
"Super built-up  Area","Basapura",2,"Krtiqa ",1100,2,1,60
"Super built-up  Area","Gollarapalya Hosahalli",3,"Mauner ",1408,3,3,62
"Plot  Area","Banashankari Stage III",4,"Unknown",2400,4,1,240
"Plot  Area","Kadugodi",4,"Unknown",1920,4,2,200
"Plot  Area","Bileshivale",5,"LGDewke",6040,4,2,170
"Super built-up  Area","Thigalarapalya",3,"Prtanha",2072,4,2,150
"Super built-up  Area","Malleshwaram",2,"Maens G",1420,2,1,158
"Plot  Area","Electronics City Phase 1",3,"Unknown",2040,3,2,137
"Super built-up  Area","Sarjapur  Road",3,"Unknown",1220,3,2,56
"Plot  Area","8th Phase JP Nagar",4,"Unknown",1200,4,2,145
"Super built-up  Area","B Channasandra",2,"Unknown",1300,2,1,79
"Super built-up  Area","Electronics City Phase 1",2,"Unknown",1150,2,2,39
"Super built-up  Area","KR Puram",2,"Unknown",1470,2,2,86
"Super built-up  Area","Hosa Road",2,"SStusan",1063,2,1,31.9
"Super built-up  Area","Harappanahalli",2,"Unknown",1311,2,2,48
"Super built-up  Area","Dollars Colony",4,"Unknown",3500,4,3,350
"Plot  Area","Nagarbhavi",4,"Unknown",600,2,1,100
"Super built-up  Area","Arehalli",3,"Unknown",1400,2,2,55
"Built-up  Area","Kanakpura Road",2,"Unknown",2200,2,0,62
"Super built-up  Area","Thanisandra",3,"MenueNo",1430,2,2,56
"Built-up  Area","Vidyaranyapura",2,"Unknown",1060,2,2,55
"Built-up  Area","Cambridge  road",3,"Unknown",1000,2,0,110
"Super built-up  Area","Sector 7 HSR Layout",3,"Saitya ",1760,3,2,145
"Super built-up  Area","Whitefield",3,"Suent V",2010,3,3,92
"Super built-up  Area","Kanakpura Road",3,"Wiowsri",1480,2,2,64.23
"Super built-up  Area","8th Phase JP Nagar",3,"Unknown",1230,2,2,43.5
"Super built-up  Area","Gottigere",3,"Unknown",1300,3,3,65
"Plot  Area","Vajarahalli",4,"Unknown",800,4,0,120
"Super built-up  Area","Frazer Town",4,"Meentan",4850,6,2,385
"Super built-up  Area","Singasandra",2,"GRe 2iv",1100,2,1,52
"Super built-up  Area","Harlur",3,"SosicCl",1290,3,2,116
"Super built-up  Area","Marathahalli",2,"Unknown",957,2,1,46.9
"Super built-up  Area","Balagere",1,"Soresea",1290,1,0,41.9
"Built-up  Area","Hennur Gardens",3,"PlhtsHe",1942,3,2,102
"Built-up  Area","Ashirvad Colony",2,"Swhtsna",1000,2,2,53
"Super built-up  Area","Yeshwanthpur",1,"IBityin",668,1,1,36.85
"Plot  Area","Cholanayakanahalli",5,"Unknown",3000,6,3,1000
"Plot  Area","Nagarbhavi",3,"Unknown",600,2,1,80
"Super built-up  Area","Uttarahalli",2,"Unknown",1089,2,1,43.55
"Super built-up  Area","Thanisandra",3,"R ra  R",1800,3,3,90
"Super built-up  Area","Yelahanka New Town",1,"Unknown",960,2,1,18
"Super built-up  Area","Yelahanka",2,"Pyikad ",1036,2,3,39.35
"Super built-up  Area","Marathahalli",3,"PueraRi",1583,3,3,105
"Built-up  Area","7th Phase JP Nagar",4,"Unknown",3300,4,0,150
"Super built-up  Area","Padmanabhanagar",2,"Bhise P",1100,2,2,65
"Plot  Area","Thyagaraja Nagar",1,"Unknown",800,1,1,100
"Super built-up  Area","Vittasandra",2,"Prlla C",1246,2,1,65
"Super built-up  Area","Dodda Nekkundi",2,"SaisePa",850,2,3,28
"Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1196,2,2,51.51
"Super built-up  Area","Thanisandra",3,"Soitya ",1697,3,2,114
"Built-up  Area","TC Palaya",2,"Unknown",1000,2,0,64
"Super built-up  Area","HRBR Layout",3,"Unknown",1567,3,3,90
"Plot  Area","Anekal",2,"Unknown",1200,1,1,36
"Plot  Area","Sarjapur  Road",4,"Co IIla",3750,6,3,290
"Super built-up  Area","Veerannapalya",2,"Unknown",950,2,2,45
"Super built-up  Area","Howthinarayanappa Garden",2,"Vidil D",1022,2,2,52
"Super built-up  Area","Kammasandra",2,"PaigeMa",1018,2,0,23.45
"Plot  Area","Basavanagara",4,"Unknown",2000,3,2,25
"Super built-up  Area","Bharathi Nagar",2,"FoapeWa",1322,2,2,68
"Plot  Area","Marsur",4,"AreraRe",1800,4,2,145
"Super built-up  Area","Doddakallasandra",3,"Unknown",1460,2,2,58.39
"Super built-up  Area","SRINIVASAPURA",2,"Unknown",990,2,1,44.55
"Built-up  Area","Cambridge Layout",3,"Sancybr",2400,3,1,260
"Super built-up  Area","Whitefield",3,"Lallere",1635,2,2,85
"Super built-up  Area","Rajaji Nagar",4,"PhestOn",3526,4,1,558
"Built-up  Area","Padmanabhanagar",4,"Unknown",3400,3,1,210
"Built-up  Area","Ramakrishnappa Layout",3,"PeBayle",2770,3,1,460
"Super built-up  Area","EPIP Zone",4,"BrontLa",3035,5,0,200
"Super built-up  Area","Maragondanahalli",3,"ArnzaFi",1533,3,2,85
"Super built-up  Area","Akshaya Nagar",3,"Hiows C",1720,3,1,134
"Super built-up  Area","Frazer Town",3,"Unknown",2000,3,1,200
"Super built-up  Area","Yeshwanthpur",2,"Aroomba",1185,2,2,75.84
"Super built-up  Area","Varthur Road",2,"Unknown",900,2,1,27
"Built-up  Area","Attibele",1,"Jae 1hu",395,1,1,10.25
"Super built-up  Area","Electronic City Phase II",2,"Brods W",1031,2,1,56.35
"Plot  Area","3rd Block Banashankari",6,"Unknown",2400,8,2,650
"Super built-up  Area","Thanisandra",4,"G conTh",2650,4,2,240
"Plot  Area","Basaveshwara Nagar",5,"Unknown",2400,5,1,415
"Super built-up  Area","Uttarahalli",3,"SLnssPr",1330,2,2,46.55
"Super built-up  Area","Hennur",2,"Exitym ",1259,2,2,57
"Built-up  Area","Raja Rajeshwari Nagar",3,"GRvanun",1570,3,2,88
"Built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,36
"Super built-up  Area","Whitefield",2,"Prtates",1216,2,1,79
"Super built-up  Area","Sarjapur  Road",3,"Srisei ",1428,2,2,66
"Super built-up  Area","Begur Road",2,"Unknown",1160,2,2,40.59
"Plot  Area"," ittamadu",3,"Unknown",600,2,1,110
"Super built-up  Area","Doddakannelli",3,"SastyDy",1475,3,2,70
"Super built-up  Area","Harlur",3,"Unknown",1754,3,2,135
"Super built-up  Area","Rayasandra",3,"Unknown",1639,3,1,83
"Super built-up  Area","Hennur Road",3,"Puachal",1804,3,2,102
"Plot  Area","Whitefield",3,"Unknown",1200,3,2,56.2
"Built-up  Area","Anand Nagar",2,"Unknown",1135,2,3,55
"Super built-up  Area","Begur Road",2,"Dhalsh ",1260,2,2,46.62
"Plot  Area","Peenya",5,"Unknown",1440,5,1,110
"Built-up  Area","Hennur Road",3,"Asadacy",2160,3,2,160
"Plot  Area","Rayasandra",7,"Unknown",700,6,2,85
"Super built-up  Area","Rachenahalli",2,"Unknown",1220,2,2,59.5
"Plot  Area","Margondanahalli",2,"Unknown",1200,2,0,67
"Super built-up  Area","Yelahanka",2,"Chara N",1300,2,3,65
"Super built-up  Area","Cox Town",1,"EGdiaAr",605,1,1,29
"Plot  Area","Vijayanagar",6,"Unknown",1230,4,1,210
"Super built-up  Area","Bhoganhalli",2,"Rosha I",1444,2,1,75.97
"Built-up  Area","Amruthahalli",2,"Unknown",924,2,1,45
"Super built-up  Area","Kaikondrahalli",2,"Unknown",1000,2,1,30
"Plot  Area","Vishveshwarya Layout",4,"Unknown",600,4,0,95
"Plot  Area","Patelappa Layout",3,"Unknown",1200,3,3,225
"Super built-up  Area","Bisuvanahalli",2,"Prityel",845,2,1,29
"Super built-up  Area","Kanakpura Road",2,"PrarePa",700,2,1,35
"Super built-up  Area","Kothanur",2,"Unknown",1187,2,2,58
"Super built-up  Area","Kaggadasapura",3,"Saconp ",1625,3,2,55
"Plot  Area"," Devarachikkanahalli",2,"Unknown",1200,2,2,83
"Super built-up  Area","Pulkeshi Nagar",2,"ElaleSp",1290,2,3,110
"Built-up  Area","Thanisandra Main Road, ",3,"Unknown",2357,3,2,151
"Super built-up  Area","Kaval Byrasandra",2,"Unknown",1200,2,1,49.5
"Super built-up  Area","Budigere",2,"PrityTr",1139,2,2,56.85
"Built-up  Area","Basavangudi",1,"Unknown",600,1,0,97.5
"Super built-up  Area","Kanakpura Road",3,"PuandHi",1660,3,3,75
"Super built-up  Area","Jayanagar",2,"Rakulai",1170,2,3,105
"Super built-up  Area","Somasundara Palya",2,"Srhts P",1448,2,2,68
"Super built-up  Area","Kadugodi",3,"Alestrb",1762,3,3,110
"Super built-up  Area","Kaggadasapura",2,"SLireap",1105,2,1,38.65
"Super built-up  Area","Yelahanka",3,"Miitat ",1825,3,1,105
"Super built-up  Area"," Bhoganhalli",1,"Rosha I",296,1,0,22.89
"Plot  Area","Kumbalgodu",5,"Unknown",1200,4,1,85
"Super built-up  Area","Thanisandra",2,"MenueNo",1185,2,2,43
"Built-up  Area","Electronic City Phase II",3,"Sryalan",1320,2,1,38.12
"Super built-up  Area","Hulimavu",2,"Suelsa ",1058,2,1,48
"Super built-up  Area","Bellandur",2,"Unknown",1220,2,2,60
"Super built-up  Area","Sarjapur",2,"Unknown",925,2,1,25
"Super built-up  Area","Old Madras Road",2,"Brglede",1200,2,1,72
"Super built-up  Area","Kengeri",3,"Unknown",1160,2,2,40.6
"Plot  Area","Kengeri Satellite Town",3,"Unknown",600,4,3,72
"Super built-up  Area","banashankari stage iii sa",3,"Unknown",1411,3,2,91.72
"Super built-up  Area","Bannerghatta Road",3,"SNity S",1550,3,2,78
"Super built-up  Area","Green Glen Layout",4,"Unknown",3250,4,3,230
"Super built-up  Area","Haralur Road",3,"NDionas",2475,4,2,130
"Super built-up  Area","7th Phase JP Nagar",4,"Puarero",2503,4,0,188
"Super built-up  Area","Marathahalli",4,"Prionad",2524,5,2,190
"Super built-up  Area","Kaggadasapura",2,"Unknown",1063,2,2,42
"Super built-up  Area","Kanakpura Road",2,"Unknown",1077,2,1,37.7
"Super built-up  Area","Manayata Tech Park",2,"Unknown",1200,3,2,44
"Built-up  Area","Hosakerehalli",4,"Unknown",1500,3,2,70
"Super built-up  Area","Jalahalli",2,"Vaniai ",1045,2,2,76.77
"Super built-up  Area","Kanakapura",3,"SPavenc",1290,2,3,45.15
"Super built-up  Area","Hoodi",2,"SMaxyay",1400,2,1,78
"Built-up  Area","Begur Road",3,"Unknown",1600,3,2,58.14
"Super built-up  Area","Jayanagar",3,"Unknown",3095,3,3,375
"Super built-up  Area","Nagavara",3,"Unknown",1545,2,1,58
"Super built-up  Area","Sarjapur  Road",3,"Mades G",1680,3,1,112
"Built-up  Area","Amruthnagar",2,"Unknown",1350,2,1,67.5
"Super built-up  Area","Gottigere",2,"Unknown",950,2,1,38
"Super built-up  Area","Thanisandra",2,"Unknown",1050,2,2,45
"Super built-up  Area","Banashankari Stage V",3,"Unknown",1305,2,2,49
"Plot  Area","Hosakerehalli",4,"Unknown",800,4,2,120
"Built-up  Area","Kodichikkanahalli",5,"Unknown",2700,7,2,125
"Plot  Area","MS Pallya",3,"Unknown",1100,3,1,78
"Built-up  Area","Thanisandra",6,"Unknown",3500,5,0,160
"Super built-up  Area","Begur Road",3,"Pruthg ",1634,3,1,83.33
"Super built-up  Area","Prithvi Layout",2,"Prlmsge",1352,2,2,85
"Super built-up  Area","Balagere",2,"HiqueMa",1145,2,2,65
"Super built-up  Area","Alfa Garden Layout",2,"Unknown",1240,2,2,43.79
"Super built-up  Area","7th Phase JP Nagar",3,"BriumMi",2200,3,2,190
"Super built-up  Area","Bommasandra Industrial Area",2,"Unknown",1020,2,1,39
"Super built-up  Area","Palace Guttahalli",4,"Unknown",3600,4,2,365
"Super built-up  Area","Raja Rajeshwari Nagar",2,"Prllsan",1168,2,1,61
"Super built-up  Area","Electronic City Phase II",2,"SNbay G",1205,2,1,75
"Super built-up  Area","Yeshwanthpur",2,"Vatra N",1195,2,2,100
"Built-up  Area","CV Raman Nagar",2,"Unknown",1028,2,1,49
"Super built-up  Area","Akshya Nagar",2,"Unknown",1175,2,2,48.27
"Super built-up  Area","Pai Layout",3,"Saent A",1550,2,2,90
"Super built-up  Area","Yeshwanthpur",3,"Unknown",1826,3,2,165
"Plot  Area","Hoodi",5,"Unknown",2400,5,2,160
"Super built-up  Area","Yelahanka",3,"Niareum",1603,3,2,96
"Built-up  Area","Marathahalli",3,"Unknown",1350,3,1,72
"Built-up  Area","KR Puram",1,"Unknown",714,1,1,28
"Super built-up  Area","Whitefield",2,"Unknown",1215,2,3,65
"Built-up  Area","Malleshpalya",3,"MancyRe",1405,2,2,77
"Super built-up  Area","KR Puram",2,"MCvarar",1142,2,1,51
"Built-up  Area","Akshaya Vana",4,"Unknown",4000,4,3,170
"Super built-up  Area","Whitefield",3,"Brony H",1870,3,2,90
"Super built-up  Area","Subramanyapura",2,"Chllsev",1313,2,2,73
"Built-up  Area","Hennur Gardens",3,"PlhtsHe",1945,3,3,120
"Super built-up  Area","Thanisandra",3,"Bhmesy ",1573,3,2,95
"Super built-up  Area","Sarjapur  Road",2,"Mades G",1255,2,1,92
"Super built-up  Area","Benson Town",4,"Unknown",1400,3,2,91.15
"Super built-up  Area","Kannamangala",2,"Unknown",1235,2,2,43.63
"Super built-up  Area","Sarjapur  Road",3,"Shthi S",1380,2,1,52
"Plot  Area","Ramamurthy Nagar",7,"Unknown",1500,9,2,250
"Super built-up  Area","Vittasandra",2,"Unknown",1238,2,1,67
"Super built-up  Area","Chennammana Kere",3,"Unknown",1465,2,3,74.72
"Super built-up  Area","Thigalarapalya",2,"Unknown",1418,2,2,103
"Super built-up  Area","Victoria Layout",3,"Unknown",1650,3,1,165
"Built-up  Area"," Anekal",1,"Unknown",351,1,1,16
"Super built-up  Area","Uttarahalli",2,"Sagnage",1279,2,2,48
"Built-up  Area","Kasavanhalli",3,"Unknown",1870,3,1,200
"Plot  Area","BCC Layout",4,"Unknown",1500,5,1,230
"Super built-up  Area","Hebbal",3,"SNontle",2526,2,2,250
"Plot  Area","Mathikere",3,"Unknown",1550,2,1,150
"Super built-up  Area","Uttarahalli",3,"DSera S",1845,2,1,68.27
"Super built-up  Area","Motappa Layout",3,"Puodse ",1360,2,1,59.27
"Built-up  Area","Friends Colony",3,"Unknown",1150,2,1,75
"Super built-up  Area","Whitefield",2,"Sancya ",1260,2,2,49.5
"Plot  Area","Doddabidrakallu",3,"Unknown",1200,3,1,74
"Built-up  Area","Dasanapura",2,"Tavenew",965,2,1,42.5
"Built-up  Area","Hoodi",3,"Adion M",1350,2,3,48
"Super built-up  Area","Bhoganhalli",2,"Rosha I",1447,2,1,75.97
"Super built-up  Area","Arehalli",3,"Unknown",1229,3,1,86.03
"Super built-up  Area","Kudlu",2,"Unknown",1027,2,2,43
"Super built-up  Area","Gottigere",2,"M denGa",1153,2,1,48.5
"Super built-up  Area","Whitefield",4,"Prtates",2856,5,0,145.5
"Super built-up  Area","Malleshpalya",2,"A idse ",1065,2,2,50
"Built-up  Area","Tala Cauvery Layout",2,"Skarkev",1030,2,3,61
"Super built-up  Area","Mallasandra",2,"Unknown",1340,2,2,61
"Super built-up  Area","Marathahalli",4,"PueraRi",4000,5,2,212
"Built-up  Area","Sri Balaji Krupa Layout",1,"Unknown",600,1,0,32
"Super built-up  Area","Begur Road",3,"Dhalsh ",1410,2,3,44.42
"Super built-up  Area","Varthur",2,"Myple M",1055,2,2,45.35
"Super built-up  Area","Yelahanka",2,"Prensya",1304,2,1,79
"Super built-up  Area","Sadashiva Nagar",4,"Unknown",2720,4,1,485
"Built-up  Area","Kammasandra",2,"Puitea ",990,2,1,31.5
"Super built-up  Area","7th Phase JP Nagar",2,"Unknown",1035,2,1,39.33
"Super built-up  Area","Tumkur Road",1,"Coowsri",700,1,0,30.09
"Super built-up  Area","Sonnenahalli",2,"Unknown",1120,2,2,43
"Super built-up  Area","Haralur Road",2,"NDionas",1300,2,2,73
"Super built-up  Area","Tumkur Road",2,"Sapus S",1239,2,1,82
"Super built-up  Area","Sarjapur  Road",3,"Daivon ",1403,3,3,51.63
"Super built-up  Area","Hosa Road",2,"Sosisic",1365,2,1,92
"Super built-up  Area","8th block Koramangala",2,"Sid 2ss",1165,2,1,135
"Super built-up  Area","Subramanyapura",3,"Unknown",1130,2,3,45.19
"Super built-up  Area","Green Glen Layout",3,"Solia D",1290,3,2,105
"Plot  Area","Vidyaranyapura",4,"Unknown",900,4,3,175
"Super built-up  Area","Haralur Road",2,"Unknown",1194,2,2,47
"Super built-up  Area","Bidadi",2,"Etuney ",1107,2,2,33
"Super built-up  Area","Nagavara",3,"Unknown",2319,3,2,180
"Super built-up  Area","Nallurhalli",3,"DNtonri",1520,3,3,80
"Super built-up  Area","Kannamangala",3,"Sonue A",1536,3,1,89
"Built-up  Area","Teachers Colony",4,"Unknown",3000,4,2,240
"Super built-up  Area","Belathur",2,"Viiniai",1050,2,1,38
"Super built-up  Area","Hoodi",3,"GoAirej",1850,3,2,146
"Super built-up  Area","Billekahalli",2,"Diisein",1112,2,2,62
"Super built-up  Area","Marathahalli",3,"Unknown",1535,3,2,72.5
"Built-up  Area","Kanakpura Road",2,"Unknown",1050,2,1,35
"Plot  Area","Banashankari",4,"Unknown",2400,3,2,370
"Super built-up  Area","7th Phase JP Nagar",3,"JDensar",1250,3,2,65
"Super built-up  Area","Kalena Agrahara",2,"CSvelMa",1187,2,3,52
"Built-up  Area","9th Phase JP Nagar",2,"Unknown",1164,2,1,56
"Super built-up  Area","Electronic City Phase II",3,"SNbay G",1395,2,1,62.78
"Super built-up  Area","Arekere",3,"RRnumn ",2072,3,2,108
"Super built-up  Area","Kanakpura Road",3,"JRrnauv",1450,3,3,60.91
"Super built-up  Area","Bannerghatta Road",3,"SNity S",1550,3,2,82
"Super built-up  Area","Sampige Layout",2,"Unknown",1315,2,2,90
"Super built-up  Area","Hebbal",4,"SNontle",3067,4,3,230
"Super built-up  Area","Amruthnagar",2,"Saeur G",1210,2,2,72
"Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,47
"Super built-up  Area","Sathya Sai Layout",6,"Prowshi",11338,9,1,1000
"Super built-up  Area","Virgonagar",3,"Unknown",1215,3,1,42.2
"Built-up  Area","Kaggadasapura",3,"Prmesad",1470,2,2,75
"Plot  Area","Dodsworth Layout",4,"Unknown",30000,4,2,2100
"Built-up  Area","Hosur Road",3,"Saageat",1590,2,2,125
"Super built-up  Area","Kanakpura Road",2,"Shdhia ",1050,2,1,36.75
"Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1306,2,1,55.91
"Built-up  Area","Malleshwaram",3,"Maens G",2000,3,2,250
"Built-up  Area","Kudlu Village, ",3,"Unknown",1445,3,2,64
"Super built-up  Area","Sarjapur  Road",3,"Unknown",1220,3,2,58
"Plot  Area","Sarjapur",4,"Puodsm ",3190,3,1,160
"Super built-up  Area","Ramagondanahalli",2,"ViistLa",1215,2,1,51.26
"Built-up  Area","Budigere",3,"PrityTr",1920,2,1,88
"Super built-up  Area","Dodda Nekkundi",2,"Unknown",1390,2,2,60
"Plot  Area","Battarahalli",3,"Unknown",800,2,1,75
"Plot  Area","Nagarbhavi",3,"Unknown",600,3,2,100
"Super built-up  Area","Hoodi",2,"GoAirej",1196,2,0,71.74
"Super built-up  Area","Bannerghatta Road",3,"Siaraa ",1550,2,2,75
"Super built-up  Area","Thigalarapalya",2,"Prtanha",1418,2,2,101
"Super built-up  Area","Varthur Road",3,"Unknown",1655,3,2,115
"Built-up  Area","KR Puram",2,"SancyRe",1115,2,2,33.45
"Super built-up  Area","Rajiv Gandhi Nagar",2,"NCiteEl",1170,2,2,68
"Super built-up  Area","Anekal",2,"Sraveks",1035,2,2,38.3
"Super built-up  Area","Singasandra",3,"Unknown",1306,2,2,58
"Super built-up  Area","Kengeri",2,"VBn 2lm",750,2,2,22
"Super built-up  Area","Thanisandra",3,"Bhmesy ",1917,3,3,122
"Super built-up  Area","Kaggadasapura",3,"Frowsru",1615,3,3,58
"Super built-up  Area","Marathahalli",2,"Unknown",1071,2,2,52.25
"Super built-up  Area","Koramangala",2,"Suryais",1325,2,2,119
"Plot  Area","Malleshwaram",7,"Unknown",3000,4,2,900
